Date,Open,High,Low,Close,Volume
2/26/2024 16:00:00,742,746.78,739,745.35,1707046
2/27/2024 16:00:00,746,746.64,741.33,744.71,1471310
2/28/2024 16:00:00,743.21,751.88,743.21,747.96,1364965
2/29/2024 16:00:00,751.42,752.56,742.99,743.89,3361185
3/1/2024 16:00:00,740.44,751.38,739.25,749.44,1678119
3/4/2024 16:00:00,755.08,764.74,753.67,759.18,2133354
3/5/2024 16:00:00,768.42,769.27,756.9,759.95,2353351
3/6/2024 16:00:00,764.84,775.16,763.66,773.24,2400644
3/7/2024 16:00:00,779.11,787.08,777.01,785.59,4187879
3/8/2024 16:00:00,756.05,756.22,725.1,725.56,8590163
3/11/2024 16:00:00,719.81,720,711.01,714.08,3762489
3/12/2024 16:00:00,717.08,740.05,716.91,736.88,3727425
3/13/2024 16:00:00,735,736.5,726.58,734.2,2270262
3/14/2024 16:00:00,738.33,740.68,728.99,731.95,1826066
3/15/2024 16:00:00,732.52,732.52,723.22,725.63,3390743
3/18/2024 16:00:00,726.1,733.34,726.02,731.54,1595245
3/19/2024 16:00:00,731.79,735.35,730.02,732.17,1322684
3/20/2024 16:00:00,731,742.09,729.13,740.72,1398710
3/21/2024 16:00:00,743.5,752.31,741.1,742.56,2106857
3/22/2024 16:00:00,744.43,744.79,734.38,734.8,1794078
3/25/2024 16:00:00,731,734.16,726.74,730.96,1604668
3/26/2024 16:00:00,731,734.7,730.22,730.98,1353548
3/27/2024 16:00:00,734,735.89,727.75,732.08,1246672
3/28/2024 16:00:00,733.85,734.9,728.32,732.63,1713268
4/1/2024 16:00:00,731.76,733.27,720.2,721.24,1600705
4/2/2024 16:00:00,720,720,708.4,711.3,2326670
4/3/2024 16:00:00,709.98,710.81,697.27,705.69,3205499
4/4/2024 16:00:00,708.77,717.13,704.22,704.88,2252433
4/5/2024 16:00:00,706.04,716.89,706.02,713.72,1552889
4/8/2024 16:00:00,713.51,716.14,710.87,711.81,1459032
4/9/2024 16:00:00,716.24,719.05,706.98,718.59,1388289
4/10/2024 16:00:00,711,723.98,708.95,722.58,1832047
4/11/2024 16:00:00,731.5,733.79,724.15,732.35,2107799
4/12/2024 16:00:00,728,732.9,726.54,731.31,1481799
